seed,is_test_seed
1736788991947245024,False
8093600418085481761,False
185079789857581185,True
1211494457533206711,False
9023183542844006475,False
7399524230569114267,False
436216936743833972,False
2014254385364610939,False
2694291365203112712,False
2272599543790704632,False
2551511507306005457,False
942955878750580206,False
2423437544024235983,True
5985786576099621020,False
7631655059356351657,False
3050695662254909897,False
5082027434142052694,False
804585052028158401,False
6666274277103099843,False
8562402926494342768,False
5773411785081158250,False
1900729346986911434,False
1710439512541600133,False
8684083499452115260,False
3778206149572486558,False
9204715334439493036,False
4051538479881566744,False
1902631862934626249,False
8670785930529853730,False
198263639106223806,False
2378831278210663956,False
7799050166991776120,False
2141932328664354058,False
4514987426873402269,True
4224451634991857996,False
8084165249354365924,False
6313428799791063183,False
1716888078346201303,False
5103122277579952247,False
4288241291428221072,False
3084286487337976937,False
4445918663563785130,False
894666715373710688,False
4258876647734915828,False
5948588665066160142,False
9088951488332056567,False
1937550681092535195,False
2233247389804260028,False
7282696419034467373,False
4976794555491803863,True
33996604367580522,False
285265006413489895,False
3165228991917263786,False
5643127245716075109,False
1697846134987399092,False
2871535657575400512,False
754093448619929624,False
6080064765611694350,True
8333144525901375586,False
778420502788893292,False
7375319594736433886,False
4607782886477955846,False
3792346182169459072,False
4289063642684996228,False
6380768998789663373,False
4017485599815720266,False
92956490199614312,False
2177998751323230309,False
2913640331205959070,False
6005521677302016950,False
4726872861054304707,False
5793572977662338361,False
3721339860038084649,False
8849225008793619157,False
3498633066363896380,False
8082441737712601444,False
8348482919701817030,False
4782702772279874799,False
5460134866778388210,False
7418624596235961033,False
7515940674922284726,False
3277262799010636219,False
2465976370453760274,False
4113135157461160442,False
5831677089215765290,False
6803298965195223522,False
5671239559276040106,False
6330153454198352788,False
6943156382330763311,False
2777560582143101024,False
7625452970715910335,False
2644222350329020687,False
6394702178156685832,False
9149200956891884371,False
922819945297248810,False
6894675186958544922,False
747594915984694399,False
1163738242553220257,False
3435510536433058096,False
4343491452727799657,False
468855162956759587,False
7391903915018333996,False
7438398302764963738,False
927662491955835574,False
7820399716484976506,False
4324808929807359313,False
3687818012983864057,False
6747413585002182723,False
2082841528233470845,False
8066523866721966576,False
6001975107342844756,False
8530566065597442643,False
4665648063297604245,False
8518638193659934846,False
7505706850562492360,False
3333254995930482866,False
1915938483039142163,False
5981752162811212742,False
9045737696787994699,False
9091810420773552951,False
3287010966244267378,False
1968448229319434868,False
5932171755192154827,False
6837924382788660395,False
4556642138877717518,False
4626655242588451812,False
6916364885610671019,False
6117038427166561286,False
4244074268791709705,False
1982474476512416556,True
5585211100927440919,False
5132216504611261250,False
6612642840342844805,False
565839246093381427,False
5705048348311247228,False
2642719588553811382,False
4599893254179695781,False
7097718110610265742,False
3736426495177343050,False
1254867128654458986,False
3521908780559806116,False
3654537518916773623,False
4898139589020552585,False
7769213507723012767,False
8410425303232953174,False
6530856359231532181,False
392988667126084211,False
3007619786244145671,True
7668515547216578424,False
8226289365188114952,False
3840475288623881672,False
2990972301220679607,False
8223076578947364517,False
7637474675403527781,False
8661397207538518679,False
1282074439273929899,False
5287886042632065063,False
5504348812802849430,False
1843625147887806195,False
8379627939560808526,False
5405916113872779474,False
5518200938926783337,False
4167242185437986848,False
4040038760229134472,False
7855030792004231023,False
8293352074344830932,True
